id,numrandom,fecha,det,id_asig
164,19754,2020-06-04 17:21:51,null,19
165,18525,2020-06-04 19:12:15,null,18
166,76637,2020-06-08 09:27:24,null,76
167,35981,2020-06-08 17:26:01,null,35
168,32818,2020-06-08 19:49:29,null,32
169,64821,2020-06-09 06:56:55,null,64
170,8923,2020-06-09 08:07:01,null,8
171,35453,2020-06-09 10:11:09,null,35
172,14237,2020-06-09 10:30:46,null,14
173,33260,2020-06-09 11:05:15,null,33
174,80142,2020-06-09 20:09:10,null,80
175,21532,2020-06-10 08:32:23,null,21
176,17829,2020-06-10 12:40:48,null,17
177,36609,2020-06-11 05:52:22,null,36
178,7215,2020-06-11 08:23:39,null,7
179,19529,2020-06-11 10:21:24,null,19
180,18546,2020-06-11 10:22:08,null,18
181,73138,2020-06-11 19:08:00,null,73
182,19459,2020-06-15 16:55:26,null,19
183,32374,2020-06-15 19:16:22,null,32
184,64714,2020-06-16 05:57:00,null,64
185,34913,2020-06-16 06:30:12,null,34
186,8148,2020-06-16 08:27:19,null,8
187,76303,2020-06-16 08:44:41,null,76
188,35658,2020-06-16 11:16:46,null,35
189,80799,2020-06-16 21:49:36,null,80
190,21771,2020-06-17 08:15:58,null,21
191,17354,2020-06-17 20:24:17,null,17
192,36256,2020-06-18 05:49:36,null,36
193,19337,2020-06-18 15:04:07,null,19
194,18568,2020-06-18 15:04:39,null,18
195,73226,2020-06-18 19:04:26,null,73
196,65656,2020-06-19 06:01:46,null,65
197,13816,2020-06-19 08:51:20,null,13
198,74586,2020-06-19 11:10:36,null,74
199,75803,2020-06-19 18:07:51,null,75
200,76168,2020-06-22 09:04:49,null,76
201,32222,2020-06-22 18:57:21,null,32
202,34284,2020-06-23 06:25:30,null,34
203,35735,2020-06-23 09:19:14,null,35
204,8982,2020-06-23 09:33:24,null,8
205,33999,2020-06-23 11:16:39,null,33
206,80323,2020-06-24 07:04:54,null,80
207,21922,2020-06-24 08:32:51,null,21
208,17618,2020-06-24 11:29:59,null,17
